group_id,category,size,pair_avg_sim,pair_min_sim,pair_max_sim,top_terms
HIGH_02691,HIGH,6,0.9999999403953552,0.9999999403953552,0.9999999403953552,"mover, bookkeeper"
HIGH_01705,HIGH,6,0.940391480922699,0.8211743831634521,0.9999999403953552,"business, analyst, management, assistant"
HIGH_01852,HIGH,6,0.9327605366706848,0.798281729221344,0.9999999403953552,"management, assistant, bookkeeper"
HIGH_02711,HIGH,6,0.9217078685760498,0.7651234865188599,1.0000001192092896,"assistant, management, accounting"
HIGH_02159,HIGH,6,0.9127781987190248,0.7383344173431396,1.0,"social, pedagogue, shelf, filler"
HIGH_01122,HIGH,6,0.8896188735961914,0.7331869602203369,0.9999999403953552,"assistant, dental, chairside, sales"
HIGH_01149,HIGH,6,0.8874600529670715,0.7475141882896423,0.9999998807907104,"business, analyst, technical, sales, representative"
HIGH_01459,HIGH,6,0.8740672469139099,0.6222021579742432,0.9999998211860656,"assistant, sales, administrative, legal"
HIGH_02662,HIGH,6,0.8605937361717224,0.581781268119812,0.9999999403953552,"mixed, farmer, mover, garden, labourer"
HIGH_02517,HIGH,6,0.8594208359718323,0.578262448310852,1.0000001192092896,"hairdresser, dancer"
HIGH_01147,HIGH,6,0.8558854460716248,0.5676561594009399,1.0000001192092896,"shelf, filler, mover, sales, assistant"
HIGH_01188,HIGH,6,0.8534439206123352,0.7252072095870972,1.0000001192092896,"manager, operations, industrial, production"
HIGH_01971,HIGH,6,0.8530566096305847,0.5591698884963989,1.0,"interpreter, mover, historian, bookkeeper"
HIGH_02620,HIGH,6,0.8458486795425415,0.649095356464386,1.0,"technical, sales, representative, business, analyst"
HIGH_02515,HIGH,6,0.8416880369186401,0.6454774737358093,1.0,"centre, agent, manager"
HIGH_00796,HIGH,6,0.840276837348938,0.6133484840393066,1.0,"chef, cook, head"
HIGH_02640,HIGH,6,0.8391671776771545,0.5175013542175293,1.0000001192092896,"secretary, office, clerk, manager"
HIGH_02248,HIGH,6,0.8390926122665405,0.6583958268165588,0.9999998807907104,"mover, fitter, turner, metal, sawing, machine, operator"
HIGH_01170,HIGH,6,0.8378936648368835,0.5136809349060059,1.0000001192092896,"assistant, lecturer, project, manager"
HIGH_02175,HIGH,6,0.8343437314033508,0.5030310750007629,1.0,"assistant, management, secretary, dental, chairside"
HIGH_00598,HIGH,6,0.8342689275741577,0.5671506524085999,1.0,"sales, assistant, house, sitter, office, clerk"
HIGH_02399,HIGH,6,0.8331910967826843,0.4995732009410858,1.0000001192092896,"human, resources, assistant, manager, consultant, legal, business"
HIGH_02119,HIGH,6,0.8263049721717834,0.4789147078990936,1.0000001192092896,"sales, assistant, postman, postwoman, gaming, inspector"
HIGH_02595,HIGH,6,0.8205131888389587,0.4615396857261657,1.0,"motor, vehicle, parts, assembler, industrial, machinery, mechanic, garage, manager"
HIGH_02126,HIGH,6,0.8148905634880066,0.5794394612312317,1.0,"gaming, inspector, shelf, filler, bookkeeper, cook"
HIGH_02034,HIGH,6,0.8143631219863892,0.601036548614502,1.0,"biologist, assistant, lecturer"
HIGH_02576,HIGH,6,0.8130359649658203,0.5348392128944397,1.0000001192092896,"sales, assistant, contact, centre, supervisor"
HIGH_01009,HIGH,6,0.8118727207183838,0.5424678325653076,0.9999999403953552,"domestic, housekeeper, mover"
HIGH_01240,HIGH,6,0.8112675547599792,0.5421684384346008,1.0000001192092896,"mover, inventory, coordinator, shelf, filler"
HIGH_01518,HIGH,6,0.8107884526252747,0.6211381554603577,0.9999999403953552,"manager, chief, executive, officer, industrial, production, purchasing"
HIGH_02200,HIGH,6,0.7971599698066711,0.4832431375980377,0.9999999403953552,"assistant, management, lecturer, accounting"
HIGH_02317,HIGH,6,0.7969279885292053,0.5710127949714661,1.0000001192092896,"financial, planner, manager, business, accountant"
HIGH_02033,HIGH,6,0.7962811589241028,0.5318982601165771,0.9999999403953552,"hotel, porter, contact, centre, supervisor"
HIGH_02254,HIGH,6,0.7920978665351868,0.6143521666526794,1.0,"manager, sales, account, department, destination"
HIGH_00584,HIGH,6,0.7917643189430237,0.5444058179855347,0.9999999403953552,"wood, production, supervisor, cabinet, maker"
HIGH_02027,HIGH,6,0.7914594411849976,0.4717347919940948,1.0,"sales, assistant, support, specialised, seller, department, manager, hairdresser"
HIGH_01388,HIGH,6,0.7908359169960022,0.4859294593334198,0.9999998211860656,"manager, sales, department, technical, representative, business, analyst, headteacher"
HIGH_01491,HIGH,6,0.7891073226928711,0.492985188961029,1.0,"office, clerk, telephone, switchboard, operator, assistant, sales, management, administrative"
HIGH_01239,HIGH,6,0.7838829159736633,0.5322316288948059,0.9999999403953552,"recycling, worker, factory, hand, mover"
HIGH_02197,HIGH,6,0.7808493971824646,0.6437193751335144,1.0000001192092896,"centre, agent, chemistry, technician"
HIGH_01956,HIGH,6,0.7781661748886108,0.490316092967987,0.9999999403953552,"online, marketer, manager, ebusiness, advertising"
HIGH_02183,HIGH,6,0.7780669927597046,0.4837581813335418,1.0,"shelf, filler, motor, vehicle, parts, assembler"
HIGH_00884,HIGH,6,0.7732318639755249,0.5290886759757996,0.9999998807907104,"shelf, filler, industrial, machinery, mechanic, mover"
HIGH_02424,HIGH,6,0.7732194066047668,0.5169022083282471,1.0,"human, resources, manager, assistant, management"
HIGH_02497,HIGH,6,0.7696916460990906,0.5297711491584778,0.9999999403953552,"assistant, nurse, healthcare, mover, management"
HIGH_01698,HIGH,6,0.7654989957809448,0.5393941402435303,1.0,"sales, assistant, office, manager"
HIGH_01279,HIGH,6,0.7606726288795471,0.6390285491943359,1.000000238418579,"mover, metal, sawing, machine, operator, building, construction, worker, shelf, filler"
HIGH_02255,HIGH,6,0.758489727973938,0.5471682548522949,1.0,"hairdresser, sales, assistant, home, care, aide"
HIGH_02259,HIGH,6,0.7570858597755432,0.5335549712181091,1.0,"nurse, specialist, assistant, mover"
HIGH_02447,HIGH,6,0.7565463185310364,0.5332417488098145,0.9999998807907104,"mover, vehicle, maintenance, attendant, factory, hand"
HIGH_01376,HIGH,6,0.7550048828125,0.6124526858329773,1.000000238418579,"art, director, digital, media, designer"
HIGH_02849,HIGH,6,0.7513711452484131,0.4638983607292175,1.0,"mover, wearing, apparel, presser, home, care, aide, postman, postwoman, sales, assistant"
HIGH_00871,HIGH,6,0.7486883401870728,0.4837340414524078,1.0000001192092896,"shelf, filler, gaming, inspector, assistant, sales, healthcare"
HIGH_02564,HIGH,6,0.746792733669281,0.4566295146942138,0.9999999403953552,"postman, postwoman, commercial, sales, representative, office, clerk, mover"
HIGH_00400,HIGH,6,0.7463244795799255,0.4526731371879577,1.0,"security, guard, house, sitter, mover"
HIGH_01639,HIGH,6,0.7453393340110779,0.5401482582092285,1.0,"administrative, assistant, office, clerk, legal"
HIGH_02171,HIGH,6,0.7407407760620117,0.5624985694885254,0.9999999403953552,"assistant, shelf, filler, social, work, sales"
HIGH_02106,HIGH,6,0.7393723726272583,0.5367226600646973,1.0,"centre, agent, contact, supervisor, mover"
HIGH_02631,HIGH,6,0.7363474369049072,0.4970939755439758,1.0,"chemistry, technician, shelf, filler, mover"
HIGH_01264,HIGH,6,0.7356996536254883,0.5211544036865234,1.0,"chief, executive, officer, sales, account, manager, shelf, filler"
HIGH_01443,HIGH,6,0.7338727712631226,0.552314043045044,0.9999999403953552,"industrial, machinery, mechanic, postman, postwoman, mover"
HIGH_02812,HIGH,6,0.7317646741867065,0.511962890625,1.0000001192092896,"chief, executive, officer, specialised, seller, motor, vehicles, hotel, porter"
HIGH_02053,HIGH,6,0.7300630211830139,0.5696133971214294,0.9179550409317015,"raw, materials, warehouse, specialist, inventory, coordinator, shelf, filler"
HIGH_01341,HIGH,6,0.7275334596633911,0.4678201675415039,1.0,"clerk, office, financial, planner, insurance"
HIGH_02777,HIGH,6,0.7273567318916321,0.4836242794990539,1.0,"assistant, healthcare, management, photographer"
HIGH_02275,HIGH,6,0.7257718443870544,0.5258762836456299,1.0,"commercial, sales, representative, office, manager, management, assistant"
HIGH_01807,HIGH,6,0.7252562642097473,0.4524202644824981,0.9999998211860656,"psychologist, psychotherapist"
HIGH_02746,HIGH,6,0.7239922285079956,0.4964385032653808,1.0000001192092896,"cook, food, production, operator, mover"
HIGH_01730,HIGH,6,0.7222654223442078,0.4590388536453247,1.0000001192092896,"manager, event, project, management, assistant, department, advertising"
HIGH_00038,HIGH,6,0.7181205749511719,0.4960425496101379,1.0,"motor, vehicle, parts, assembler, garden, labourer, lacquer, maker, mover"
HIGH_00882,HIGH,6,0.7174140810966492,0.4870271384716034,1.0,"cook, postman, postwoman"
HIGH_00854,HIGH,6,0.7171846032142639,0.5430334806442261,1.0000001192092896,"assistant, management, administrative, medical, hairdresser"
HIGH_02232,HIGH,6,0.7168769836425781,0.5388602018356323,1.0,"dental, chairside, assistant, centre, agent"
HIGH_01721,HIGH,6,0.7166851758956909,0.5600391030311584,1.0000001192092896,"sales, assistant, specialised, seller, building, materials, mover"
HIGH_01331,HIGH,6,0.7145538926124573,0.4564888179302215,0.9999999403953552,"accounting, assistant, tax, clerk, financial, planner, bookkeeper"
HIGH_00195,HIGH,6,0.7129831314086914,0.4663518369197845,1.0,"pharmacy, assistant, shelf, filler, hairdresser"
HIGH_02779,HIGH,6,0.7106634378433228,0.489788144826889,0.9132816791534424,"worker, building, construction, mover, civil, engineering, caretaker"
HIGH_00090,HIGH,6,0.708929181098938,0.4523032307624817,1.0000001192092896,"administrative, court, officer, legal, assistant"
HIGH_00983,HIGH,6,0.7063234448432922,0.4958422183990478,1.0,"human, resources, manager, employment, agent"
HIGH_01544,HIGH,6,0.7061522006988525,0.5923262238502502,0.8807677030563354,"sales, assistant, postman, postwoman, mover"
HIGH_02623,HIGH,6,0.7056655883789062,0.5111418962478638,1.0,"quality, technician, engineering, product, controller, chemistry"
HIGH_00128,HIGH,6,0.7030069231987,0.4620745480060577,0.9999999403953552,"factory, hand, office, clerk, mover"
HIGH_02587,HIGH,6,0.7017055153846741,0.4953314960002899,1.0,"office, clerk, assistant, lecturer, lawyer"
HIGH_01633,HIGH,6,0.70148104429245,0.5760424137115479,0.9099457263946532,"worker, building, construction, civil, engineering, garden, labourer, recycling, mover"
HIGH_00096,HIGH,6,0.6955576539039612,0.5221567749977112,1.0000001192092896,"building, construction, worker, plate, glass, installer, mover"
HIGH_01154,HIGH,6,0.6933037042617798,0.5637589693069458,1.0,"technical, communicator, secretary, mover, sales, assistant, usher"
HIGH_01127,HIGH,6,0.6921500563621521,0.4836797714233398,0.9999999403953552,"sales, assistant, social, pedagogue, manicurist"
HIGH_02421,HIGH,6,0.6921374797821045,0.4947621822357178,1.0,"social, pedagogue, centre, agent"
HIGH_01158,HIGH,6,0.6906698346138,0.5369216203689575,0.9999999403953552,"motor, vehicles, specialised, seller, sales, assistant, support, purchaser"
HIGH_02196,HIGH,6,0.6901872158050537,0.4707317948341369,1.0,"manager, raw, materials, warehouse, specialist, logistics, distribution, centre, agent, ict, documentation, sales, assistant, brand"
HIGH_00141,HIGH,6,0.6900522112846375,0.5317001938819885,1.0000001192092896,"management, assistant, membership, manager, robotics, engineer"
HIGH_00353,HIGH,6,0.6884271502494812,0.4905773997306824,0.8598526120185852,"assistant, office, clerk, sales, support, management, mover, human, resources"
HIGH_00437,HIGH,6,0.685684084892273,0.4852250814437866,1.0,"garden, labourer, recycling, worker, mover"
HIGH_01414,HIGH,6,0.6856300830841064,0.5219070315361023,0.9999998807907104,"machine, operator, freight, transport, dispatcher, supervisor, metal, sawing, mover, purchaser, cook"
HIGH_01809,HIGH,6,0.6817026138305664,0.4695044159889221,0.9999999403953552,"manager, operations, department"
HIGH_02551,HIGH,6,0.6814310550689697,0.5038054585456848,1.0000001192092896,"management, assistant, mover"
HIGH_00867,HIGH,6,0.6790685057640076,0.4554797410964966,1.0000001192092896,"office, clerk, chief, executive, officer, secretary, mover"
HIGH_01360,HIGH,6,0.6764535307884216,0.4558956623077392,1.0000001192092896,"administrative, assistant, secretary, medical"
HIGH_02874,HIGH,6,0.6760285496711731,0.5057753920555115,1.0,"analyst, business, statistician, accountant, mergers, acquisitions"
HIGH_02416,HIGH,6,0.6751648783683777,0.4780778288841247,0.9999999403953552,"social, worker, higher, education, lecturer, hairdresser"
HIGH_01018,HIGH,6,0.6735318303108215,0.4941859543323517,1.0000001192092896,"product, quality, controller, factory, hand, mover"
HIGH_01738,HIGH,6,0.6681026220321655,0.535730242729187,1.0000001192092896,"metal, sawing, machine, operator, cabinet, maker, mover"
HIGH_01654,HIGH,6,0.6649078726768494,0.5379971265792847,0.8313994407653809,"product, manager, chief, executive, officer, tourism, accountant"
HIGH_01858,HIGH,6,0.6616995930671692,0.4808135032653808,0.903715193271637,"power, tool, repair, technician, printed, circuit, board, assembler, postman, postwoman, office, clerk, building, caretaker, lacquer, maker"
HIGH_00590,HIGH,6,0.6574641466140747,0.5207768082618713,1.0,"mover, office, clerk"
HIGH_01628,HIGH,6,0.65362948179245,0.4520383775234222,0.9999999403953552,"shelf, filler, sales, assistant, mover"
HIGH_00155,HIGH,6,0.6532236337661743,0.5155979990959167,0.8780754804611206,"mover, factory, hand, building, construction, worker"
HIGH_02201,HIGH,6,0.647561252117157,0.461768627166748,0.9999998807907104,"public, relations, officer, hairdresser, spokesperson, journalist, advertising, assistant"
HIGH_00092,HIGH,6,0.644853413105011,0.4830636382102966,0.8845086097717285,"chemical, processing, supervisor, technician, chemistry, food, production, operator, cylinder, filler, manufacturing, quality"
HIGH_00087,HIGH,6,0.6438397765159607,0.5945755839347839,0.7540643215179443,"mover, building, construction, worker, garden, labourer"
HIGH_02144,HIGH,6,0.6389488577842712,0.5313503742218018,0.9010527729988098,"construction, painter, vehicle, maintenance, attendant, upholsterer"
HIGH_02786,HIGH,6,0.63291996717453,0.4657231569290161,1.0,"ict, manager, account, developer, administrator, ebusiness"
HIGH_02565,HIGH,6,0.6295889616012573,0.4648403823375702,0.9999999403953552,"mover, metal, sawing, machine, operator, sales, assistant"
HIGH_00311,HIGH,6,0.6267338991165161,0.4941810965538025,0.8571138978004456,"teacher, higher, education, lecturer, vocational, hairdresser, interpreter, drama"
HIGH_02521,HIGH,6,0.6255220174789429,0.4582376778125763,0.9999998807907104,"manager, project, office, advertising, product, event"
HIGH_01641,HIGH,6,0.6250685453414917,0.4730900228023529,0.9999998807907104,"sales, assistant, shelf, filler, account, manager, hotel, porter"
HIGH_01580,HIGH,6,0.6229144334793091,0.5010453462600708,1.0,"manager, supply, chain, membership, project, purchaser, product"
HIGH_02022,HIGH,6,0.6212512254714966,0.4658669531345367,1.0000001192092896,"healthcare, assistant, shelf, filler, mover"
HIGH_00667,HIGH,6,0.6191394329071045,0.4869000017642975,0.9285076260566713,"sales, representative, technical, manager, electronic, telecommunications, equipment, membership, commercial, management, assistant"
HIGH_00586,HIGH,6,0.6187329888343811,0.4820021688938141,1.0,"civil, engineering, worker, garden, labourer, private, chauffeur, mover"
HIGH_01389,HIGH,6,0.6112689971923828,0.5626338124275208,1.0,"social, pedagogue, nanny, building, inspector, accountant, management, assistant, mover"
HIGH_02088,HIGH,6,0.611219584941864,0.4532651901245117,0.8976573944091797,"security, guard, printed, circuit, board, assembler, postman, postwoman, mover"
HIGH_02710,HIGH,6,0.6093760132789612,0.4578928351402282,0.9999999403953552,"office, clerk, sales, technical, representative, manager, hairdresser, product, assistant"
HIGH_02670,HIGH,6,0.6053297519683838,0.4660084843635559,0.9999999403953552,"manager, project, technical, sales, representative, membership, office, operations, clerk, architect"
HIGH_01553,HIGH,6,0.5938475131988525,0.4711546897888183,0.7937411069869995,"engineer, electrical, mover, ship, duty, psychologist, construction, research, employment, agent"
HIGH_00219,HIGH,6,0.5932136178016663,0.461191862821579,0.8650564551353455,"commercial, sales, representative, project, manager, office, clerk, domestic, electrician, sign, maker"
HIGH_02377,HIGH,6,0.5868978500366211,0.5065529346466064,0.7931119203567505,"home, care, aide, building, construction, worker, mover"
HIGH_02484,HIGH,6,0.5716970562934875,0.4925129115581512,0.9999999403953552,"sales, assistant, support, commercial, representative, centre, agent, management, garden, labourer"
HIGH_01729,HIGH,6,0.571340799331665,0.4581513106822967,0.7346996665000916,"mover, building, construction, worker, sales, assistant, architect"
HIGH_02104,HIGH,6,0.5682585835456848,0.4537092745304107,0.9999999403953552,"lacquer, maker, cook, mover, garden, labourer"
HIGH_02590,HIGH,6,0.5645601153373718,0.4829261302947998,0.9999999403953552,"postman, postwoman, home, care, aide, mover, coordinator"
HIGH_01470,HIGH,6,0.5559245347976685,0.4612325727939605,0.7272235155105591,"building, construction, worker, vehicle, maintenance, attendant, factory, hand, mover, shelf, filler, caretaker, sales, assistant"
HIGH_02432,HIGH,6,0.5532726645469666,0.4600707590579986,0.9999999403953552,"sales, representative, technical, commercial, assistant, social, pedagogue, archivist, event, manager"
HIGH_02659,HIGH,6,0.5398728251457214,0.4901325702667236,0.9999999403953552,"assistant, lecturer, engineer, electrical, quality, application, telecommunications, chemical"
HIGH_02693,HIGH,6,0.5354803800582886,0.4588111639022827,0.8437041640281677,"office, clerk, telephone, switchboard, operator, solderer, shelf, filler, management, assistant"
HIGH_02513,HIGH,6,0.5210347771644592,0.4534496963024139,1.0,"assistant, social, work, sales, hairdresser, factory, hand, secretary, interpreter"
HIGH_02683,HIGH,6,0.5180969834327698,0.4585320055484772,0.601421594619751,"manager, public, relations, management, assistant, online, marketer, statistician, centre, agent, insurance, claims, journalist"
